norte,oeste,sul,quartos,area,preco
0,0,0,0.6931471805599453,3.828641396489095,6.398594934535208
0,0,1,1.791759469228055,5.8888779583328805,9.093918908958932
0,1,0,1.0986122886681096,3.9318256327243257,7.00397413672268
1,0,0,1.6094379124341003,6.398594934535208,8.517393171418904
0,0,0,1.0986122886681096,4.189654742026425,7.00397413672268
0,0,0,1.0986122886681096,4.61512051684126,6.90875477931522
1,0,0,1.3862943611198906,4.7535901911063645,7.901377353792616
1,0,0,1.6094379124341003,5.5254529391317835,8.216358332386156
0,1,0,1.791759469228055,5.43372200355424,8.412054873292933
0,0,1,1.3862943611198906,5.017279836814924,8.216358332386156
0,0,1,0.6931471805599453,3.9318256327243257,6.55250788703459
0,1,0,1.791759469228055,5.707110264748875,8.188966863648876
1,0,0,0.6931471805599453,3.9318256327243257,6.311734809152915
1,0,0,0.6931471805599453,5.6240175061873385,8.853808274977197
0,0,0,0.6931471805599453,3.9318256327243257,6.68586094706836
0,1,0,1.3862943611198906,5.993961427306569,9.798182590890704
0,0,0,1.3862943611198906,4.795790545596741,8.294299608857235
0,1,0,0.6931471805599453,4.110873864173311,7.00397413672268
0,0,0,1.3862943611198906,5.3981627015177525,7.824445930877619
1,0,0,0.6931471805599453,4.394449154672439,6.621405651764134
0,0,0,1.3862943611198906,4.795790545596741,7.601402334583733
0,0,0,1.0986122886681096,4.110873864173311,6.957497370876951
0,1,0,1.0986122886681096,4.394449154672439,7.1316985104669115
1,0,0,0.6931471805599453,4.2626798770413155,6.7464121285733745
1,0,0,1.0986122886681096,4.61512051684126,7.550135342488429
0,0,0,0.6931471805599453,2.3978952727983707,6.803505257608338
0,0,1,1.0986122886681096,4.836281906951478,6.803505257608338
1,0,0,0.6931471805599453,3.9318256327243257,6.90875477931522
0,0,0,1.3862943611198906,5.484796933490655,7.824445930877619
0,1,0,1.6094379124341003,5.749392985908253,8.294299608857235
0,1,0,0.6931471805599453,3.713572066704308,6.621405651764134
1,0,0,1.3862943611198906,5.4510384535657,8.188966863648876
0,0,0,1.0986122886681096,4.2626798770413155,7.496097345175956
0,0,1,1.3862943611198906,5.707110264748875,8.987321812850125
0,1,0,1.6094379124341003,5.365976015021851,9.210440366976517
0,1,0,1.3862943611198906,5.3981627015177525,7.937731775260109
1,0,0,0.6931471805599453,3.58351893845611,6.580639137284949
1,0,0,1.0986122886681096,4.51085950651685,6.55250788703459
0,0,1,1.6094379124341003,5.351858133476067,8.845633256340186
0,0,0,1.0986122886681096,4.2626798770413155,7.170888478512505
0,0,1,1.6094379124341003,6.2166061010848646,9.90353755128617
0,1,0,1.3862943611198906,4.875197323201151,8.517393171418904
0,0,0,1.0986122886681096,2.3978952727983707,6.7464121285733745
0,1,0,0.6931471805599453,3.713572066704308,7.1316985104669115
1,0,0,1.3862943611198906,4.875197323201151,7.696667081526462
0,0,0,1.0986122886681096,4.007333185232471,7.0909098220799835
1,0,0,1.3862943611198906,5.017279836814924,7.783640596221253
0,0,1,1.791759469228055,5.198497031265826,8.412054873292933
0,0,1,1.3862943611198906,5.921578419643816,8.517393171418904
1,0,0,1.3862943611198906,5.351858133476067,8.160803920954665
0,1,0,1.3862943611198906,5.552959584921617,8.987321812850125
0,0,1,1.0986122886681096,4.795790545596741,8.188966863648876
0,0,0,0.6931471805599453,4.04305126783455,6.478509642208569
1,0,0,1.3862943611198906,4.795790545596741,7.3783837129967145
1,0,0,1.3862943611198906,4.2626798770413155,6.836259277277067
1,0,0,1.0986122886681096,4.110873864173311,6.803505257608338
0,1,0,1.6094379124341003,5.5254529391317835,8.853808274977197
0,0,0,1.0986122886681096,3.9318256327243257,7.00397413672268
1,0,0,0.6931471805599453,4.51085950651685,6.55250788703459
0,1,0,1.0986122886681096,4.709530201312334,7.696667081526462
1,0,0,1.0986122886681096,4.795790545596741,7.601402334583733
1,0,0,1.3862943611198906,5.303304908059076,7.601402334583733
0,0,0,0.6931471805599453,4.2626798770413155,7.02197642307216
1,0,0,0.6931471805599453,3.828641396489095,7.3783837129967145
0,0,1,1.0986122886681096,4.90527477843843,7.824445930877619
0,0,0,1.0986122886681096,2.3978952727983707,7.496097345175956
1,0,0,1.0986122886681096,4.110873864173311,7.313886831633462
1,0,0,1.6094379124341003,5.560681631015528,8.294299608857235
